tag_index,0-14,15-24,25-64,65+
"0-14, low SEP, low edu",5.565126665577828,0.5183127830685519,3.383215384683529,0.48508898572780834
"0-14, low SEP, high edu",,,,
"0-14, high SEP, low edu",5.5327964659890165,0.512615840678173,3.3841153901762833,0.42419445945417256
"0-14, high SEP, high edu",,,,
"15-24, low SEP, low edu",0.923322243790375,3.4621941818281314,3.906264812497165,0.9677671771847166
"15-24, low SEP, high edu",1.3246942869965084,4.3321719735732165,6.893188480881152,2.9462435816240347
"15-24, high SEP, low edu",0.7084182636873831,2.7846835459148322,3.3861276748188116,0.70363671745044
"15-24, high SEP, high edu",0.23027945033376113,2.2966044662308507,3.934064698562219,1.189580480605566
"25-64, low SEP, low edu",0.9006385275667157,0.6394122864001989,3.5685989630825086,0.8538375116563709
"25-64, low SEP, high edu",0.980430238314899,0.6082582589784554,4.201352455419465,1.0516741379984902
"25-64, high SEP, low edu",0.8329793481927528,0.6946409735575463,3.7353122807303825,0.8400548861585497
"25-64, high SEP, high edu",0.9884117949972404,0.6838547749526169,3.690565011258935,0.6985289477480745
"65+, low SEP, low edu",0.27352353682088665,0.29175031440822957,2.3387606810383885,1.5672773731707994
"65+, low SEP, high edu",0.30916983000657644,0.6997839684163106,2.464563372510373,1.641775759518828
"65+, high SEP, low edu",0.1834202909807228,0.44328382681136874,2.13822231992927,1.311517887363965
"65+, high SEP, high edu",0.8270593701537795,0.6392883487477716,2.9037092100528707,1.6449698757824838
