combination,groups,target,size,rel_imm_thr,abs_imm_thr,index,ratio_egv_max,list_ass_sep_trace,list_ass_edu_trace,ratio_egv_max_quant,list_ass_sep_trace_quant,list_ass_edu_trace_quant,list_eigv_ratio_keep_sep,list_eigv_ratio_keep_edu
0,2,high SEP,0.69,0.6,0.42,0,1.006345513279697,1.2099466089907855,1.3127090833674615,0-20,40-60,80-100,1.0021024071137727,1.0027761110161906
0,2,low edu,0.69,0.59,0.4,0,1.006345513279697,1.2099466089907855,1.3127090833674615,0-20,40-60,80-100,1.0021024071137727,1.0027761110161906
1,2,high SEP,0.69,0.68,0.47,1,1.006849782947294,1.2329924806532238,1.2330996573128463,40-60,60-80,60-80,1.002714530110396,1.0028739581923607
1,2,low edu,0.69,0.59,0.4,1,1.006849782947294,1.2329924806532238,1.2330996573128463,40-60,60-80,60-80,1.002714530110396,1.0028739581923607
2,2,high SEP,0.69,0.56,0.39,2,1.006991710014845,1.10331266457512,1.2054838697665398,40-60,20-40,60-80,1.002333064572431,1.0029695163043022
2,2,low edu,0.69,0.57,0.39,2,1.006991710014845,1.10331266457512,1.2054838697665398,40-60,20-40,60-80,1.002333064572431,1.0029695163043022
3,2,high SEP,0.69,0.59,0.41,3,1.0069818249002878,1.1116444284118687,1.1953758461906443,40-60,20-40,60-80,1.0019200986745196,1.0028730487725328
3,2,low edu,0.69,0.58,0.4,3,1.0069818249002878,1.1116444284118687,1.1953758461906443,40-60,20-40,60-80,1.0019200986745196,1.0028730487725328
4,2,high SEP,0.69,0.66,0.46,4,1.007389632917154,1.3107281231662815,1.3007570685748555,60-80,80-100,80-100,1.0025677247836269,1.0030015045911518
4,2,low edu,0.69,0.58,0.4,4,1.007389632917154,1.3107281231662815,1.3007570685748555,60-80,80-100,80-100,1.0025677247836269,1.0030015045911518
5,2,high SEP,0.69,0.64,0.44,5,1.0065692749741764,1.2182992951776683,1.23418690956897,20-40,40-60,60-80,1.0018838213887251,1.0028851064945985
5,2,low edu,0.69,0.56,0.38,5,1.0065692749741764,1.2182992951776683,1.23418690956897,20-40,40-60,60-80,1.0018838213887251,1.0028851064945985
6,1,low edu,0.69,0.56,0.38,6,1.0064840300376496,1.4166643733480944,1.271807888176257,20-40,80-100,80-100,1.00259236547122,1.0028326873779043
7,2,high SEP,0.69,0.62,0.43,7,1.00700174878304,1.28537406383395,1.038376092082415,40-60,60-80,20-40,1.0017264905886567,1.0027095104867871
7,2,low edu,0.69,0.52,0.36,7,1.00700174878304,1.28537406383395,1.038376092082415,40-60,60-80,20-40,1.0017264905886567,1.0027095104867871
8,2,high SEP,0.69,0.56,0.39,8,1.0066188995768175,1.2147852157815615,1.232897795091613,20-40,40-60,60-80,1.001940269653447,1.0028044637980147
8,2,low edu,0.69,0.56,0.38,8,1.0066188995768175,1.2147852157815615,1.232897795091613,20-40,40-60,60-80,1.001940269653447,1.0028044637980147
9,2,high SEP,0.69,0.54,0.37,9,1.006708027539821,0.9952411602152014,1.213375367912183,20-40,0-20,60-80,1.0017401477425525,1.0026292588404038
9,2,low edu,0.69,0.57,0.39,9,1.006708027539821,0.9952411602152014,1.213375367912183,20-40,0-20,60-80,1.0017401477425525,1.0026292588404038
10,2,high SEP,0.69,0.52,0.36,10,1.0063087224836935,1.0586621752092973,0.9028226412466732,0-20,0-20,0-20,1.0020340313141065,1.0026009217591196
10,2,low edu,0.69,0.5,0.34,10,1.0063087224836935,1.0586621752092973,0.9028226412466732,0-20,0-20,0-20,1.0020340313141065,1.0026009217591196
11,2,high SEP,0.69,0.68,0.47,11,1.0067859108846204,1.4005002430460878,1.142906327710681,20-40,80-100,40-60,1.0016840727097427,1.0029904999440864
11,2,low edu,0.69,0.53,0.36,11,1.0067859108846204,1.4005002430460878,1.142906327710681,20-40,80-100,40-60,1.0016840727097427,1.0029904999440864
12,2,high SEP,0.69,0.54,0.38,12,1.006647466315718,1.1752131430011978,1.110573321279167,20-40,40-60,40-60,1.0019827793734255,1.0028418646228316
12,2,low edu,0.69,0.52,0.36,12,1.006647466315718,1.1752131430011978,1.110573321279167,20-40,40-60,40-60,1.0019827793734255,1.0028418646228316
13,2,high SEP,0.69,0.55,0.38,13,1.0071792423102457,1.0282052597583131,0.9691228436757388,60-80,0-20,0-20,1.0017679629776182,1.0028554074494846
13,2,low edu,0.69,0.53,0.37,13,1.0071792423102457,1.0282052597583131,0.9691228436757388,60-80,0-20,0-20,1.0017679629776182,1.0028554074494846
14,2,high SEP,0.69,0.65,0.45,14,1.0073534988859054,1.1827883844945828,0.9928296308304284,60-80,40-60,0-20,1.0028276240038687,1.002675214430443
14,2,low edu,0.69,0.55,0.37,14,1.0073534988859054,1.1827883844945828,0.9928296308304284,60-80,40-60,0-20,1.0028276240038687,1.002675214430443
15,2,high SEP,0.69,0.63,0.43,15,1.0067437423378738,1.1146155321985298,1.1291118936081552,20-40,20-40,40-60,1.0024552617788454,1.0026829349484878
15,2,low edu,0.69,0.55,0.38,15,1.0067437423378738,1.1146155321985298,1.1291118936081552,20-40,20-40,40-60,1.0024552617788454,1.0026829349484878
16,2,high SEP,0.69,0.57,0.39,16,1.0070313042702077,1.0894790417871354,0.91301548013798,40-60,0-20,0-20,1.002584558218563,1.0026823846211577
16,2,low edu,0.69,0.51,0.35,16,1.0070313042702077,1.0894790417871354,0.91301548013798,40-60,0-20,0-20,1.002584558218563,1.0026823846211577
17,2,high SEP,0.69,0.58,0.4,17,1.0061898317594495,1.205086419164915,1.180634046052503,0-20,40-60,60-80,1.0017973893319172,1.002869339450268
17,2,low edu,0.69,0.55,0.38,17,1.0061898317594495,1.205086419164915,1.180634046052503,0-20,40-60,60-80,1.0017973893319172,1.002869339450268
18,2,high SEP,0.69,0.73,0.5,18,1.0084018452383927,1.3456332871644356,1.1455319541184197,80-100,80-100,40-60,1.002222394121336,1.0030748913420011
18,2,low edu,0.69,0.62,0.42,18,1.0084018452383927,1.3456332871644356,1.1455319541184197,80-100,80-100,40-60,1.002222394121336,1.0030748913420011
19,2,high SEP,0.69,0.6,0.41,19,1.006700355307437,1.2138988705935811,1.1256441532832295,20-40,40-60,40-60,1.0022452992134958,1.0028173998716765
19,2,low edu,0.69,0.52,0.36,19,1.006700355307437,1.2138988705935811,1.1256441532832295,20-40,40-60,40-60,1.0022452992134958,1.0028173998716765
20,2,high SEP,0.69,0.65,0.45,20,1.00719877050261,1.3327869880560954,1.0975812815714583,60-80,80-100,40-60,1.0018621792296754,1.0028972251659327
20,2,low edu,0.69,0.53,0.37,20,1.00719877050261,1.3327869880560954,1.0975812815714583,60-80,80-100,40-60,1.0018621792296754,1.0028972251659327
21,3,low SEP,0.31,0.99,0.3,21,1.0065721900275173,1.010008847634819,0.8633034408273852,20-40,0-20,0-20,1.0020572909302567,1.0026653208379652
21,3,high SEP,0.69,0.52,0.36,21,1.0065721900275173,1.010008847634819,0.8633034408273852,20-40,0-20,0-20,1.0020572909302567,1.0026653208379652
21,3,low edu,0.69,0.49,0.34,21,1.0065721900275173,1.010008847634819,0.8633034408273852,20-40,0-20,0-20,1.0020572909302567,1.0026653208379652
22,2,high SEP,0.69,0.58,0.4,22,1.006350685926357,1.139546066252017,1.0956180776946804,0-20,20-40,40-60,1.0018282178654212,1.0027002590503884
22,2,low edu,0.69,0.57,0.39,22,1.006350685926357,1.139546066252017,1.0956180776946804,0-20,20-40,40-60,1.0018282178654212,1.0027002590503884
23,2,high SEP,0.69,0.64,0.44,23,1.0071035238676134,1.321416763564751,1.2160342152289012,40-60,80-100,60-80,1.0027740409264037,1.0027047190497214
23,2,low edu,0.69,0.54,0.37,23,1.0071035238676134,1.321416763564751,1.2160342152289012,40-60,80-100,60-80,1.0027740409264037,1.0027047190497214
24,2,high SEP,0.69,0.6,0.42,24,1.006628900001087,1.2150237264040964,1.2221893854099843,20-40,40-60,60-80,1.0018308387491444,1.0027036365965798
24,2,low edu,0.69,0.56,0.38,24,1.006628900001087,1.2150237264040964,1.2221893854099843,20-40,40-60,60-80,1.0018308387491444,1.0027036365965798
25,1,low edu,0.69,0.79,0.54,25,1.0094071989002713,1.258047860969399,1.0626720161435264,80-100,60-80,20-40,1.0028293627976352,1.0030839192182008
26,2,high SEP,0.69,0.56,0.39,26,1.0068958356107691,1.2825473476303395,1.3165352612983643,40-60,60-80,80-100,1.001733255285982,1.0029606412586414
