combination,groups,target,size,rel_imm_thr,abs_imm_thr,index,ratio_egv_max,list_ass_sep_trace,list_ass_edu_trace,ratio_egv_max_quant,list_ass_sep_trace_quant,list_ass_edu_trace_quant,list_eigv_ratio_keep_sep,list_eigv_ratio_keep_edu
0,2,high SEP,0.69,0.53,0.37,0,1.006345513279697,1.2099466089907855,1.3127090833674615,0-20,40-60,80-100,1.0021024071137727,1.0027761110161906
0,2,low edu,0.69,0.45,0.31,0,1.006345513279697,1.2099466089907855,1.3127090833674615,0-20,40-60,80-100,1.0021024071137727,1.0027761110161906
1,2,high SEP,0.69,0.58,0.4,1,1.006849782947294,1.2329924806532238,1.2330996573128463,40-60,60-80,60-80,1.002714530110396,1.0028739581923607
1,2,low edu,0.69,0.45,0.31,1,1.006849782947294,1.2329924806532238,1.2330996573128463,40-60,60-80,60-80,1.002714530110396,1.0028739581923607
2,2,high SEP,0.69,0.88,0.61,2,1.006991710014845,1.10331266457512,1.2054838697665398,40-60,20-40,60-80,1.002333064572431,1.0029695163043022
2,2,low edu,0.69,0.45,0.31,2,1.006991710014845,1.10331266457512,1.2054838697665398,40-60,20-40,60-80,1.002333064572431,1.0029695163043022
3,2,high SEP,0.69,0.52,0.36,3,1.0069818249002878,1.1116444284118687,1.1953758461906443,40-60,20-40,60-80,1.0019200986745196,1.0028730487725328
3,2,low edu,0.69,0.45,0.31,3,1.0069818249002878,1.1116444284118687,1.1953758461906443,40-60,20-40,60-80,1.0019200986745196,1.0028730487725328
4,1,low edu,0.69,0.46,0.31,4,1.007389632917154,1.3107281231662815,1.3007570685748555,60-80,80-100,80-100,1.0025677247836269,1.0030015045911518
5,2,high SEP,0.69,0.54,0.37,5,1.0065692749741764,1.2182992951776683,1.23418690956897,20-40,40-60,60-80,1.0018838213887251,1.0028851064945985
5,2,low edu,0.69,0.45,0.31,5,1.0065692749741764,1.2182992951776683,1.23418690956897,20-40,40-60,60-80,1.0018838213887251,1.0028851064945985
6,1,low edu,0.69,0.45,0.31,6,1.0064840300376496,1.4166643733480944,1.271807888176257,20-40,80-100,80-100,1.00259236547122,1.0028326873779043
7,1,low edu,0.69,0.44,0.3,7,1.00700174878304,1.28537406383395,1.038376092082415,40-60,60-80,20-40,1.0017264905886567,1.0027095104867871
8,2,high SEP,0.69,0.52,0.36,8,1.0066188995768175,1.2147852157815615,1.232897795091613,20-40,40-60,60-80,1.001940269653447,1.0028044637980147
8,2,low edu,0.69,0.44,0.3,8,1.0066188995768175,1.2147852157815615,1.232897795091613,20-40,40-60,60-80,1.001940269653447,1.0028044637980147
9,2,high SEP,0.69,0.51,0.35,9,1.006708027539821,0.9952411602152014,1.213375367912183,20-40,0-20,60-80,1.0017401477425525,1.0026292588404038
9,2,low edu,0.69,0.45,0.31,9,1.006708027539821,0.9952411602152014,1.213375367912183,20-40,0-20,60-80,1.0017401477425525,1.0026292588404038
10,2,high SEP,0.69,0.52,0.36,10,1.0063087224836935,1.0586621752092973,0.9028226412466732,0-20,0-20,0-20,1.0020340313141065,1.0026009217591196
10,2,low edu,0.69,0.43,0.29,10,1.0063087224836935,1.0586621752092973,0.9028226412466732,0-20,0-20,0-20,1.0020340313141065,1.0026009217591196
11,1,low edu,0.69,0.44,0.3,11,1.0067859108846204,1.4005002430460878,1.142906327710681,20-40,80-100,40-60,1.0016840727097427,1.0029904999440864
12,2,high SEP,0.69,0.53,0.37,12,1.006647466315718,1.1752131430011978,1.110573321279167,20-40,40-60,40-60,1.0019827793734255,1.0028418646228316
12,2,low edu,0.69,0.44,0.3,12,1.006647466315718,1.1752131430011978,1.110573321279167,20-40,40-60,40-60,1.0019827793734255,1.0028418646228316
13,3,low SEP,0.31,0.98,0.3,13,1.0071792423102457,1.0282052597583131,0.9691228436757388,60-80,0-20,0-20,1.0017679629776182,1.0028554074494846
13,3,high SEP,0.69,0.51,0.35,13,1.0071792423102457,1.0282052597583131,0.9691228436757388,60-80,0-20,0-20,1.0017679629776182,1.0028554074494846
