comb,epi_tail,"AR_0-14, low SEP, low edu","AR_0-14, high SEP, low edu","AR_15-24, low SEP, low edu","AR_15-24, low SEP, high edu","AR_15-24, high SEP, low edu","AR_15-24, high SEP, high edu","AR_25-64, low SEP, low edu","AR_25-64, low SEP, high edu","AR_25-64, high SEP, low edu","AR_25-64, high SEP, high edu","AR_65+, low SEP, low edu","AR_65+, low SEP, high edu","AR_65+, high SEP, low edu","AR_65+, high SEP, high edu",AR_overall,AR_0-14,AR_15-24,AR_25-64,AR_65+
0,1.1710404978189515,69.45185504532829,69.34980331830016,61.60664794027545,79.34794483815885,54.53734740604707,52.55089437116572,44.09018948294499,48.92245445845287,45.1126319323039,45.99665023593642,34.02025145360196,37.88559654667931,30.219587798888234,43.68863008892946,48.24696311232569,69.38166627435368,57.204584987828554,45.63957385436865,34.47527341323487
1,1.1460546468429003,69.37546910963627,69.33044801094312,62.99355429936253,78.18128553647576,53.592005917416955,54.25291966893625,44.69928157992691,49.75208349526626,44.347891147926994,46.01332916578536,33.526644972905025,38.73373917337366,30.14825707044344,43.94738056234398,48.18962804396713,69.34450465977127,57.09718790718458,45.58320660461666,34.42583903907122
2,1.1539267491881964,69.84409901699448,69.096355194374,62.076066935620524,79.9756854470263,53.842424692318836,55.280934629533704,45.16913958011994,49.19588968483543,44.77033063001586,45.495439872440684,32.337188714752656,38.31369064006719,30.360866842326736,44.87297954067185,48.17943612325193,69.32981845122684,57.089681764765395,45.582866121529655,34.38918808437346
3,1.1200901620088488,69.776842732999,69.12549523404952,62.005613489242286,79.8324938216279,54.165702871175924,52.43920527721058,44.52129010409177,50.1533232491095,44.61491974379352,45.6753076848038,32.18246082663913,38.23223482085696,30.764345831560576,44.28026958170683,48.178198026350614,69.32886128515884,57.0999844726088,45.57076243008815,34.41311443745229
4,1.1893507566145227,69.66279124445774,69.12627257106652,62.84182912459238,79.92987181184,53.63602120037669,52.09148854679075,44.3090505948308,48.794930929651,44.79236903039972,45.94331623765582,32.56590667151892,38.91262131711618,30.338506381584853,44.28692657463986,48.13253171707856,69.29378635461518,57.002751118963005,45.53606753180918,34.35466209450812
5,1.1504841981324123,69.48370543774382,69.29944763039695,61.89162621747592,79.67782268743451,54.30836618998266,52.653582693261264,44.79449849133536,49.551847789915534,44.608662608931525,45.829059962474055,31.93037453065662,39.87877282240156,31.07994031048791,43.55759594387789,48.21804850353308,69.3569772635446,57.16254463585448,45.60803138848094,34.45761940621455
6,1.1551962976158843,69.51625906764254,69.30378891261584,62.80035749353032,78.08253292864178,53.953143069044266,52.73593472431883,44.263775526475854,49.48509058559079,44.838879535549225,45.94720375439128,32.734184425252785,38.36157141892942,30.826575700403257,43.692860549937144,48.23044039594281,69.37012710609329,57.17255244473285,45.620901470738,34.46929387842043
7,1.1743695321320398,69.46631105872082,69.2473315917269,61.5383180844692,80.96553229687925,54.2007415131336,53.53269352432596,43.99740365608232,49.003939220059074,45.15709384930052,45.78603225210876,32.336163914300286,37.95981390168666,30.85035096603847,43.996228126494074,48.176212374550275,69.3157021459217,57.07809198193508,45.57373623043095,34.416068942941266
8,1.1712725138691467,69.55357989172684,69.2708046329209,62.065574397821926,79.46204152322113,54.26249778269166,52.30873274422273,44.086498460347755,49.0053080823184,45.4083418255986,45.61102543925229,33.33881219243318,38.46118998119385,30.252199341382685,44.117517188419384,48.22190954757992,69.359093737934,57.15972695957573,45.61934725792751,34.444775953615384
9,1.1800525351418605,69.37420859450604,69.33118480286923,61.75935102886635,80.30848618875339,54.06744024820337,54.67010460985222,44.99137110533789,48.809874325850004,44.531032647743125,46.00475742529546,33.11476616746082,37.802563239728975,30.632246434867557,43.74942202744152,48.20317567382053,69.3446178453282,57.10882290689926,45.597586764946016,34.44852796295203
10,1.1568644248385171,69.86028066949072,69.15731761229647,62.14336853943635,78.88360737925437,54.21158475091747,53.53126093700482,43.97785418687138,49.255384590380345,45.277489761358076,45.78930869206856,32.587806212254854,36.9297764110272,31.100491479110527,43.80735255918315,48.25040511010998,69.37679925803532,57.20608303232703,45.64123917854552,34.49141643338632
11,1.1209795090493053,69.56681439909451,69.2757997782747,61.7061213083055,78.7881238963972,54.345749306370344,54.2899602314889,44.46214385582853,49.87924607123363,45.4481909010609,45.06973942669863,32.428210352072114,38.230145936574914,29.765598492011037,45.99838569103919,48.20793036645369,69.36666140643271,57.2008497896775,45.61469203867172,34.3576506538772
12,1.1631920284460955,69.61661347701009,69.2448164616867,62.356415120473265,79.07552096511463,53.997028386659586,53.72654068210241,44.42463400413051,48.98140617899071,44.81913148955886,46.01083954110067,32.69492661436881,38.855088550608585,30.488220465654095,44.16678459292117,48.214235226246615,69.3609002586499,57.153193101078195,45.61147663897553,34.42962718550082
13,1.15349373669725,69.66123209449599,69.1557922008719,61.024949555307536,80.84049719770182,54.58599821646905,52.142224930699214,44.62428075159465,49.675969012791846,44.76311862772537,45.58310494873999,33.07364822334183,38.32553707342762,30.110503927605052,44.505978379615726,48.16118124712684,69.3136024563887,57.08015375561167,45.55866718982368,34.38194104100078
14,1.1311516356578093,69.38659412595004,69.24693053605313,62.89828622023689,79.72141708014048,53.456321579487984,53.61942765704267,44.13527807797145,50.372399280859284,44.824533034161355,45.50694547453204,33.43687089417484,38.94782894091593,30.165021758147276,43.85799712522972,48.14115588361345,69.29053680276466,56.99115245888499,45.53665058646052,34.40663528788869
15,1.1345657560604197,69.65929362077325,69.19546773425708,62.806770024378544,78.74150443989889,53.627649849581175,54.79787479370473,44.704783433601534,50.06022661329141,44.8687566549581,45.42095921514378,32.35356190481541,38.18807361823347,30.946691505594302,43.911293163474625,48.20567792860135,69.34028511529439,57.11104463144569,45.597663556798864,34.46357395812101
16,1.1392632050807627,69.61276029783173,69.18842869135803,62.83094108136646,79.4556123790614,53.498177934315315,54.68668195681438,44.33869549952656,49.57096998345225,45.492021467304305,45.10226210160287,33.96261715933193,38.89992065129217,29.65808543848948,44.42260087273011,48.17940490683252,69.32091502669914,57.0515539233408,45.58385884455604,34.41334296886487
17,1.15956118738542,69.5821049434978,69.30285231001956,61.41003059141633,79.41485858876186,54.47114805515677,54.82430085095289,44.91523705490825,49.20937211882903,44.91189042835752,45.698636609837145,32.46585406266293,39.565932149601565,30.831367201315256,43.749913029181464,48.264430872079146,69.39004156832475,57.23904997378776,45.65571817479348,34.49470303585628
18,1.18027753554377,69.41235266795691,69.11314560131663,61.93487582554234,81.91458469174047,53.691064827400076,52.47803667645993,44.87604335889431,49.30861857045861,44.463137692091124,45.518134437246175,32.70476113505216,38.898695016928734,29.791189835212027,44.877628486934654,48.02936052449586,69.20656510427744,56.84570307768522,45.438300793302645,34.251864667914475
19,1.1511916693024644,69.83627446834515,69.13441405081548,62.73305917217787,78.69621088915967,53.75338922996866,54.37562804300248,44.41365884018021,49.229494829150966,45.19932961124351,45.55352908352664,32.431009430120035,38.484444007894965,30.52102641410397,44.523777223265874,48.212461806450044,69.35355142644545,57.14121261173527,45.613095789612906,34.42780283306436
20,1.1600935149324636,69.48889210189822,69.24813579699402,61.43299451906441,80.41426960710587,54.33676182247253,53.130861354592426,44.318440774104424,49.34879031529285,45.01657897556904,45.622375780974146,32.922631202355895,38.214981065697245,29.820701070043803,45.21029882371089,48.16147618556745,69.323305593588,57.092387904920116,45.56711737908123,34.34488134520524
21,1.1639144758301125,69.75071363029589,69.19319099497606,62.37749137947362,79.0318712289917,53.930036838346865,54.474247277870354,44.61612056972894,48.98507006302457,45.10975510356346,45.65004680626944,32.986236123339594,37.950716093961155,30.33403476174667,44.49967154568676,48.22635534107221,69.36726271081424,57.16014488281293,45.626797906905686,34.439723534422626
22,1.116586415800083,69.78169498316336,69.18978452767142,61.36133367883161,79.53449181006384,54.51964202114055,53.97233468331397,45.22221601027396,50.307218841483866,44.9344605577182,45.09925590616928,32.88179035266639,38.78871373152364,30.63980053717575,43.95755738173012,48.249441698071266,69.37459293199915,57.20855200449472,45.63630974115186,34.50110743242766
23,1.1653045138827123,69.79356026726185,69.08601799714691,63.575327286331586,78.72538706933959,53.196453036040445,53.89456949335335,44.45683646264348,49.03293688079976,45.40349582639652,45.25706578270481,32.77290089947003,37.686004581408376,30.5292740612972,44.26890013073349,48.166040137583316,69.30692938115969,57.01930302215224,45.56962782757127,34.412987505461956
24,1.1390710922777754,69.81114148151235,69.15885919687764,61.96398631650909,79.0092054177712,54.25151377064526,53.1792603525611,44.92176452100842,49.82732116718869,44.38949630518644,45.88726895084312,33.403052628335125,37.90094202148643,30.339679131872224,44.0404829979573,48.2156936935483,69.36251711012467,57.16073071467297,45.6053734150993,34.449662373209065
25,1.19848283234214,69.39154167904202,68.98227659643602,62.58639038943297,82.51377115277396,53.01961751556817,52.852917951553806,44.459374143704395,48.99630230923252,44.87041922911459,45.157766488318394,31.86886715856587,38.036951294765224,29.91715747225482,45.38620083251621,47.9236066021241,69.11005880768384,56.6619520830923,45.343541618403414,34.14832075637788
26,1.1450173930487277,69.73752195443163,69.17129007930362,61.669504859498346,79.23996391261232,54.26507897001245,54.34408473481747,44.071969525363,49.84441383750414,44.6802475878081,46.00341222520496,32.48995545049672,37.917236815414725,30.314598686619636,44.897633461929324,48.19033337291427,69.34808102521609,57.15582285327587,45.58688601898873,34.38496318397624
27,1.1427140814449408,69.55437569400432,69.21989511996944,61.440009370982544,80.35748697994818,54.2851610068279,54.03183969853928,44.13623860437751,49.667445352121376,45.54467400606235,45.13069929479372,32.74726242458572,37.78958140879172,30.229084096205206,44.889112313020725,48.18359767769837,69.32432784385946,57.11320736753919,45.58399254886516,34.3994587380299
28,1.1927243531943656,69.53704782631783,68.9240375263785,63.70055723325381,81.14115110105077,52.57925314938417,51.74080989233788,44.43385554438048,49.482996796199195,44.20249733920377,45.656753794009255,33.08227985551372,38.558951323219766,29.369970851391322,44.98304940834486,47.911214259526744,69.1154337997795,56.61712597319928,45.328324235248935,34.14736959309235
29,1.1404755322805664,69.66961996043729,69.22483542319492,61.412627182208354,79.501902024145,54.33684451364375,55.1106933402302,44.97549543761509,49.51098540343736,44.73497512468868,45.61604669706296,32.7420360381022,39.16849750654102,29.825655691245114,45.27789096809582,48.20595402663917,69.36370764590146,57.175814483198494,45.60940655184194,34.37825779432579
30,1.1871142544625666,69.68211058077605,69.11580764834085,61.217196103235956,81.11978983862144,54.37005403544527,52.691930717970294,44.351705168867625,49.12763535539435,44.9756553526196,45.650140998780955,32.988621151252794,37.76276374518131,30.261588568176712,44.39560600480772,48.144418531395125,69.2926207800205,57.04321290838268,45.5443536526884,34.37208339872469
31,1.163495938827834,69.44880425180078,69.2718711718739,61.66254306907746,80.73729349533632,54.28399925629347,52.30215446431072,44.83845463795951,49.09160177038701,44.864553082363486,45.634414863453564,33.05192299738503,37.630096958703135,30.99092316109407,43.185753613643556,48.19880094669398,69.32711385236837,57.08869271683385,45.58917110018689,34.47452194820996
32,1.1475063371605811,69.83685513953132,68.97314192891704,63.143640686183815,80.15129173940608,53.26920488689283,52.50813595327528,44.185131771718225,49.85285832303793,44.85758490116992,45.44800948704374,32.500470676566785,37.16802275301247,30.232410110992213,44.93049913105414,48.07379068055917,69.24281356382292,56.895677639255965,45.480531469726245,34.306152536442
33,1.1632456141326906,69.78696470631591,69.03896464720711,61.22731447172083,81.31584891915142,54.35776638761576,52.21502898046589,44.62089726192099,49.61387143248248,45.27142282714467,45.02857051206559,33.69537773539928,37.33015753583314,30.41410240604325,43.59496279246561,48.146861300283256,69.27250790713491,57.01641907202329,45.53939704154372,34.42917391318962
34,1.1523765455431323,69.55496482602791,69.20622896311825,62.934586618876864,79.61977916834553,53.55021290887804,53.21254724069287,44.502045580446364,49.57799612591302,44.861870723507366,45.60512502700102,32.73247457583906,37.75343052751021,30.71530500589002,43.93723012558614,48.16984189408219,69.31511252440392,57.033538207786954,45.56692597630657,34.42667678350743
35,1.129323857865877,69.48709062273251,69.3614224619986,61.449621791771406,78.35406727636497,54.63979885412483,54.043558504368626,44.57748022886089,50.04251075081051,45.30314064718685,45.231202523754696,32.391374779484536,37.994626498413766,30.555877967566758,44.83636966607837,48.266814054322246,69.40065902564525,57.28032393654336,45.65923390741616,34.46672750661449
36,1.1469833108151246,69.18440897163778,69.34143913256815,63.274769985231785,78.98843648643769,53.42211004522388,52.463835653266315,44.18623741845896,49.77969602152752,44.86871497107667,45.59738712983109,32.38517832804589,37.624190307388226,30.313411027853228,44.90176826931837,48.12414664832701,69.29241061279188,56.99417229933223,45.52818732598472,34.33941619295413
37,1.1554761042243589,69.82873110767574,69.07797263983574,62.70858284077525,79.85766856179889,53.721929811774196,52.79972127769386,44.92531198923442,49.48830540856824,45.274792057865625,45.01034073360253,32.559267208144426,37.871700829294824,30.89904976201681,43.82496981725404,48.183663093325364,69.31237714002609,57.055436166245265,45.57895270561305,34.454410464196826
38,1.1905752827206404,69.25848211301921,69.19704744840752,61.86255949117471,82.18086851920484,53.69161025313394,52.97234387534751,44.71072476145843,49.12065762574285,44.7521449653876,45.46929046641306,34.095216386499914,39.93577023884556,29.793017131316386,43.306223751088936,48.069043567064305,69.21622879962703,56.86066543898984,45.47115971286561,34.34799028505459
39,1.1687961303687557,69.57243476651293,69.23229275973324,62.519697842695294,79.5419594809234,53.923015853009524,52.6624696002013,44.401817166027485,48.86102202999823,45.66266684446809,45.16685290264009,32.844818403110864,37.07098637773819,30.406941276843696,44.68168765847995,48.19793900741666,69.33849311645028,57.107080326813154,45.600609360986766,34.418190345410444
40,1.2006134920814187,69.7607580710558,69.0567795501318,62.8205952681939,80.59858204325492,53.44444152414105,53.355789621383956,44.26209776020618,48.461831721635555,45.281632823205136,45.58946604776417,33.30598777067319,39.41693452737112,30.253835581850943,43.61160611310925,48.13728095169575,69.27657824759665,56.969877928160265,45.54120783490676,34.39544806446072
41,1.165568313008385,69.56446411246394,69.19461746764772,62.76032239142336,79.94699008773088,53.6626149944513,52.710887467650124,45.05023982962958,49.069301199827244,44.91169539706521,45.39219677988538,32.51334568723782,39.462932305949806,30.264640786311038,44.46374420624124,48.15616384760608,69.31009231293937,57.031424835178726,45.560453160213896,34.379185745121745
42,1.1623365150330802,69.33113941593129,69.17069450609135,63.33076939287356,80.5765706168501,52.93019355755347,53.84400687722379,45.00696186041431,49.442678416475694,44.80343695963965,45.11419079762975,32.458599048836106,39.00204661150137,29.81115090843461,45.16900121499721,48.04419906494999,69.22078919101355,56.83076297227211,45.458964495238725,34.26608099322458
43,1.1670658162467005,69.82652954440861,69.0824463121322,62.754251768291866,79.66550600940045,53.59389627963516,53.78002604111054,45.418227809635134,49.23183761780931,44.67908514959443,45.41061693699701,33.30270831049557,37.66215513412625,30.5912663274034,43.663552549993035,48.178445517079446,69.31476664634513,57.041294482914154,45.5731323457746,34.44970194057019
44,1.179723625207201,69.73419029509093,68.98150730694131,62.16262087884938,81.93040845061451,53.645361144036265,52.19577936993903,44.6018823895953,49.378914747961765,44.799545201922,45.40130524787636,32.67846142963149,38.17468804930417,30.77486856561551,43.44662304096857,48.07406392386856,69.21651268776186,56.86897661271658,45.471896855181924,34.367400889413894
45,1.157065990746886,69.7572074151348,69.2255490352221,62.255771954630895,78.54983692761421,54.25721324063526,53.05931895974213,44.560213373719314,49.06594924613161,45.35920611141611,45.501563409831405,32.89504487734704,37.304397032532506,30.974038932057386,43.71566033438429,48.271123032731595,69.39154532051744,57.230956376827635,45.66181757251481,34.515022053537095
46,1.1489956185084298,69.62569556290731,69.256537507377,61.87487869101972,79.4879960279863,54.31464240813347,53.11563301530966,44.12497750788859,49.38641196649647,45.43616191911084,45.4981480319517,34.11028516590549,38.93151759464534,30.05830451421074,43.66828553623957,48.24532795316042,69.37179735885333,57.18297175575778,45.63944410653757,34.48632368064406
47,1.1820174759122155,69.60636074893262,69.04417287479816,63.22476116975794,80.451292311011,52.935961568057024,54.180654308193525,44.36790533992616,49.05070258724808,44.09482606020111,46.24959993943527,32.77655471428633,37.5599768882136,29.809008697856463,45.086528052724624,48.02313581706671,69.21970118822327,56.81896721407295,45.43474463014676,34.233583919109805
