combination,groups,target,size,rel_imm_thr,abs_imm_thr,index,ratio_egv_max,list_ass_sep_trace,list_ass_edu_trace,ratio_egv_max_quant,list_ass_sep_trace_quant,list_ass_edu_trace_quant,list_eigv_ratio_keep_sep,list_eigv_ratio_keep_edu
0,1,"high SEP, low edu",0.45,0.73,0.33,0,1.006345513279697,1.2099466089907855,1.3127090833674615,0-20,40-60,80-100,1.0021024071137727,1.0027761110161906
3,1,"high SEP, low edu",0.45,0.67,0.3,3,1.0069818249002878,1.1116444284118687,1.1953758461906443,40-60,20-40,60-80,1.0019200986745196,1.0028730487725328
5,1,"high SEP, low edu",0.45,0.69,0.31,5,1.0065692749741764,1.2182992951776683,1.23418690956897,20-40,40-60,60-80,1.0018838213887251,1.0028851064945985
8,1,"high SEP, low edu",0.45,0.75,0.34,8,1.0066188995768175,1.2147852157815615,1.232897795091613,20-40,40-60,60-80,1.001940269653447,1.0028044637980147
9,1,"high SEP, low edu",0.45,0.84,0.38,9,1.006708027539821,0.9952411602152014,1.213375367912183,20-40,0-20,60-80,1.0017401477425525,1.0026292588404038
10,1,"high SEP, low edu",0.45,0.67,0.3,10,1.0063087224836935,1.0586621752092973,0.9028226412466732,0-20,0-20,0-20,1.0020340313141065,1.0026009217591196
12,1,"high SEP, low edu",0.45,0.73,0.33,12,1.006647466315718,1.1752131430011978,1.110573321279167,20-40,40-60,40-60,1.0019827793734255,1.0028418646228316
13,1,"high SEP, low edu",0.45,0.7,0.32,13,1.0071792423102457,1.0282052597583131,0.9691228436757388,60-80,0-20,0-20,1.0017679629776182,1.0028554074494846
14,1,"high SEP, low edu",0.45,0.72,0.32,14,1.0073534988859054,1.1827883844945828,0.9928296308304284,60-80,40-60,0-20,1.0028276240038687,1.002675214430443
16,1,"high SEP, low edu",0.45,0.83,0.37,16,1.0070313042702077,1.0894790417871354,0.91301548013798,40-60,0-20,0-20,1.002584558218563,1.0026823846211577
17,1,"high SEP, low edu",0.45,0.7,0.32,17,1.0061898317594495,1.205086419164915,1.180634046052503,0-20,40-60,60-80,1.0017973893319172,1.002869339450268
19,1,"high SEP, low edu",0.45,0.77,0.35,19,1.006700355307437,1.2138988705935811,1.1256441532832295,20-40,40-60,40-60,1.0022452992134958,1.0028173998716765
21,1,"high SEP, low edu",0.45,0.68,0.31,21,1.0065721900275173,1.010008847634819,0.8633034408273852,20-40,0-20,0-20,1.0020572909302567,1.0026653208379652
22,1,"high SEP, low edu",0.45,0.71,0.32,22,1.006350685926357,1.139546066252017,1.0956180776946804,0-20,20-40,40-60,1.0018282178654212,1.0027002590503884
25,1,"high SEP, low edu",0.45,0.93,0.42,25,1.0094071989002713,1.258047860969399,1.0626720161435264,80-100,60-80,20-40,1.0028293627976352,1.0030839192182008
27,1,"high SEP, low edu",0.45,0.85,0.38,27,1.0070146583170785,1.0956401053995273,1.1134301061450629,40-60,0-20,40-60,1.0019712032021837,1.0028343705566811
29,1,"high SEP, low edu",0.45,0.83,0.38,29,1.0067694825084788,1.322118871803128,1.1318363537390823,20-40,80-100,40-60,1.0018946319317283,1.0032184130596298
31,1,"high SEP, low edu",0.45,0.73,0.33,31,1.0067730996277875,1.1583196854960185,1.1415659846062498,20-40,20-40,40-60,1.0020287383498467,1.002574602688412
34,1,"high SEP, low edu",0.45,0.82,0.37,34,1.007063341254772,1.2962171746993132,1.208442413440029,40-60,80-100,60-80,1.0026260639174398,1.002783359507758
36,1,"high SEP, low edu",0.45,0.85,0.38,36,1.0074986504472194,1.0963753982651911,1.0830117256013536,60-80,0-20,20-40,1.0027492849422044,1.0028032288972968
37,1,"high SEP, low edu",0.45,0.99,0.45,37,1.0069520120012805,1.3768817735080785,0.8132091044489602,40-60,80-100,0-20,1.002359090682335,1.0024914757241306
38,1,"high SEP, low edu",0.45,0.73,0.33,38,1.0080186322918645,1.1821081739035306,1.1027988534311854,80-100,40-60,40-60,1.002393426634527,1.00272143954449
39,1,"high SEP, low edu",0.45,0.69,0.31,39,1.0068369672030213,1.0726238368712555,1.0710689284927817,40-60,0-20,20-40,1.0022674766391937,1.0026692719200196
41,1,"high SEP, low edu",0.45,0.91,0.41,41,1.0072017131745743,1.452864629923392,0.8759200647185473,60-80,80-100,0-20,1.0024592241854713,1.0028370308789911
44,1,"high SEP, low edu",0.45,0.81,0.37,44,1.0079612084279368,1.2339469749856582,1.0689189369424792,80-100,60-80,20-40,1.00256577969492,1.002698350861936
45,1,"high SEP, low edu",0.45,0.72,0.33,45,1.0061399666544415,1.1108969001316784,0.9531399077852384,0-20,20-40,0-20,1.0022648851363936,1.0025298974061576
46,1,"high SEP, low edu",0.45,0.7,0.32,46,1.0064043095651714,1.1653290131195235,1.066278374650255,0-20,20-40,20-40,1.0018451611447654,1.002518914789243
49,1,"high SEP, low edu",0.45,0.92,0.42,49,1.007205690561713,1.37006865852913,1.2178577602199605,60-80,80-100,60-80,1.0024027231107306,1.00277594295099
50,1,"high SEP, low edu",0.45,0.67,0.3,50,1.0060113644870468,1.187036806231066,0.978142285783441,0-20,40-60,0-20,1.002235208135276,1.0028466107325271
52,1,"high SEP, low edu",0.45,0.72,0.33,52,1.0073489546543524,1.1730825488152117,1.0325220935308597,60-80,40-60,20-40,1.0027642312486322,1.0025554193435198
53,1,"high SEP, low edu",0.45,0.86,0.39,53,1.005987700244301,1.109563117624695,1.2567911517948416,0-20,20-40,80-100,1.0018555713669273,1.002694873285687
55,1,"high SEP, low edu",0.45,0.69,0.31,55,1.0063407894920056,1.075625576391558,1.2794874356843935,0-20,0-20,80-100,1.001645612781919,1.0027895992690532
56,1,"high SEP, low edu",0.45,0.68,0.31,56,1.0062330929277816,1.0423351120742332,1.0818788961295236,0-20,0-20,20-40,1.001853508446713,1.0027476433712008
57,1,"high SEP, low edu",0.45,0.76,0.35,57,1.0068270725550157,1.1632066879677376,0.9400396020791464,40-60,20-40,0-20,1.0020492606766656,1.002573705817435
61,1,"high SEP, low edu",0.45,0.86,0.39,61,1.0073877696269538,1.1692855301647636,0.9133030967133676,60-80,40-60,0-20,1.0029542964780644,1.0027715249809224
62,1,"high SEP, low edu",0.45,0.99,0.45,62,1.0072538621823075,1.1967818003220208,1.06632920807255,60-80,40-60,20-40,1.001638716431038,1.0030020315724235
63,1,"high SEP, low edu",0.45,0.73,0.33,63,1.0072204095558674,1.100311982759313,0.9429098540126728,60-80,0-20,0-20,1.002812508335719,1.002646158757014
64,1,"high SEP, low edu",0.45,0.71,0.32,64,1.0063958311679273,1.1359477141803451,1.121718743000144,0-20,20-40,40-60,1.0017344059181963,1.0026468229510932
66,1,"high SEP, low edu",0.45,0.91,0.41,66,1.006885753720188,1.1091329875765248,1.0526083602741978,40-60,20-40,20-40,1.001705582903646,1.0027340545909371
69,1,"high SEP, low edu",0.45,0.64,0.29,69,1.006417624522793,0.9271299652539468,0.8360508867646151,0-20,0-20,0-20,1.0022986100906648,1.0026515170499994
70,1,"high SEP, low edu",0.45,0.81,0.37,70,1.0086194639159822,1.156422910274133,0.9484317761665892,80-100,20-40,0-20,1.0030342842297175,1.0029143083516188
71,1,"high SEP, low edu",0.45,0.88,0.4,71,1.007353295077689,1.2392271950514804,1.0777072977661704,60-80,60-80,20-40,1.002820047608668,1.0028758394575708
72,1,"high SEP, low edu",0.45,0.68,0.31,72,1.007622058850857,1.092189548810399,1.0059883392120872,80-100,0-20,20-40,1.002753322445518,1.0027076069209342
73,1,"high SEP, low edu",0.45,0.79,0.36,73,1.0070972130804876,1.0793255314543178,1.2145131069958772,40-60,0-20,60-80,1.0024688769575505,1.0028554880229286
74,1,"high SEP, low edu",0.45,0.91,0.41,74,1.0066224871583802,1.0910792466227133,1.3231315490523046,20-40,0-20,80-100,1.0016707330438963,1.0030042427302026
76,1,"high SEP, low edu",0.45,0.98,0.45,76,1.006915692909049,1.0890394928241105,1.32808987129409,40-60,0-20,80-100,1.0017133257282178,1.0032302885921232
77,1,"high SEP, low edu",0.45,0.71,0.32,77,1.0067175622846671,1.1730892471034693,0.9844415167141064,20-40,40-60,0-20,1.0023493494489255,1.002787980664285
78,1,"high SEP, low edu",0.45,0.88,0.4,78,1.0068755333213566,1.005410349853368,1.080482163841789,40-60,0-20,20-40,1.002304389898761,1.002944100688555
79,1,"high SEP, low edu",0.45,0.79,0.36,79,1.0082343659352462,1.1131019582037596,1.2691947109989372,80-100,20-40,80-100,1.0025229289481996,1.00294872130306
